"Date - Intl. format or prompt","Text","Link(s) - Separated by comma for FB carousels","Media URL(s) - Separated by comma","Title - For the video, pin, PDF ..","Label(s) - Separated by comma","Alt text(s) - Separated by ||","Comment(s) - Separated by ||","Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..","CTA - For Facebook links or Google","Reminder - For stories, reels, shorts, and TikToks"
"2026-08-04 17:58","Deal alert
ROVSUN 12000 BTU Mini Split AC/Heating System with Inverter, 21 SEER2 Energy Saving 230V Ductless Split-System Air Conditioner with Pre-Charged Condenser, Heat Pump, Remote Control & Installation Kit
Now: $499.96
30-day avg: $588.01
15% below 30-day average
Price can change fast.","","https://m.media-amazon.com/images/P/B09T6Y1JWK.01._SL500_.jpg","","Amazon Deals","ROVSUN 12000 BTU Mini Split AC/Heating System with Inverter, 21 SEER2 Energy Saving 230V Ductless Split-System Air Conditioner with Pre-Charged Condenser, Heat Pump, Remote Control & Installation Kit","Deal link: https://www.amazon.com/dp/B09T6Y1JWK/?tag=simplewoodsho-20

As an Amazon Associate, I may earn from qualifying purchases.","","","",""
"2026-08-04 18:43","POWERTEC 6-1/2"" Circular Saw & Track Saw Blade, 40T, 5/8"" Arbor (14023)
Worth a look for the shop. Linked below.","","https://m.media-amazon.com/images/P/B0FQBGQXT6.01._SL500_.jpg","","Amazon Deals","POWERTEC 6-1/2"" Circular Saw & Track Saw Blade, 40T, 5/8"" Arbor (14023)","#ad https://www.amazon.com/dp/B0FQBGQXT6/?tag=simplewoodsho-20","","","",""
